id,tipo,nome,preco,avaliacao
1,Italiana,Spaghetti Carbonara,45,4.7
2,Mexicana,Tacos de Carne,30,4.5
3,Brasileira,Feijoada,55,4.8
4,Italiana,Lasagna,50,4.6
5,Mexicana,Burrito de Frango,35,4.3
6,Chinesa,Frango Xadrez,40,4.4
7,Japonesa,Sushi Combo,60,4.9
8,Indiana,Curry de Cordeiro,70,4.5
9,Brasileira,Moqueca,65,4.6
10,Italiana,Risotto de Cogumelos,55,4.7
11,Mexicana,Nachos com Guacamole,28,4.4
12,Italiana,Pizza Margherita,48,4.8
13,Japonesa,Yakisoba,42,4.5
14,Chinesa,Rolinho Primavera,25,4.2
15,Brasileira,Acarajé,32,4.6
16,Indiana,Masala de Frango,58,4.7
17,Mexicana,Enchiladas,40,4.6
18,Italiana,Gnocchi ao Sugo,52,4.5
19,Japonesa,Tempurá,38,4.4
20,Brasileira,Churrasco Misto,75,4.9
